state,00,01,02,10,11,12,20,21,22
"[[0, -1, 0], [0, -1, 0], [1, 0, 0]]",15.25,,2.0,2.5,,1.75,,9.0,6.0
"[[0, -1, 0], [0, 0, -1], [1, 0, 0]]",3.5,,6.0,2.0,17.5,,,3.0,3.0
"[[0, -1, 0], [0, 0, 0], [1, -1, 0]]",4.5,,8.5,4.5,6.5,3.0,,,1.5
"[[0, -1, 0], [0, 0, 0], [1, 0, -1]]",11.75,,3.0,4.0,7.0,1.25,,3.0,
"[[0, -1, -1], [0, 0, 0], [0, 1, 0]]",4.5,,,1.5,1.75,1.25,3.25,,8.0
"[[0, -1, 0], [-1, 0, 0], [0, 1, 0]]",3.5,,4.25,,1.5,2.0,8.0,,17.0
"[[0, -1, 0], [0, -1, 0], [0, 1, 0]]",6.0,,3.5,4.0,,5.5,23.25,,8.5
"[[0, -1, 0], [0, 0, -1], [0, 1, 0]]",1.75,,3.0,2.5,4.0,,9.0,,4.25
"[[0, -1, 0], [0, 0, 0], [-1, 1, 0]]",5.75,,3.0,2.0,2.75,2.75,,,3.25
"[[0, -1, 0], [0, 0, 0], [0, 1, -1]]",3.5,,2.5,4.0,2.5,7.0,3.25,,
"[[0, -1, -1], [0, 0, 0], [0, 0, 1]]",11.0,,,2.5,4.0,1.0,1.5,2.5,
"[[0, -1, 0], [-1, 0, 0], [0, 0, 1]]",8.5,,4.5,,7.5,10.5,15.5,8.5,
"[[0, -1, 0], [0, -1, 0], [0, 0, 1]]",2.0,,7.25,3.5,,6.0,5.0,16.25,
"[[0, -1, 0], [0, 0, -1], [0, 0, 1]]",6.5,,7.25,3.0,8.5,,4.5,17.5,
"[[0, -1, 0], [0, 0, 0], [-1, 0, 1]]",3.5,,5.0,4.0,7.25,12.5,,3.0,
"[[0, -1, 0], [0, 0, 0], [0, -1, 1]]",9.5,,4.75,1.5,6.0,6.0,2.0,,
"[[1, 0, -1], [-1, 0, 0], [0, 0, 0]]",,1.25,,,5.25,4.75,2.5,8.25,4.5
"[[1, 0, -1], [0, -1, 0], [0, 0, 0]]",,6.5,,23.5,,7.5,52.75,5.5,2.5
"[[1, 0, -1], [0, 0, -1], [0, 0, 0]]",,0.5,,4.0,6.0,,6.5,2.5,12.0
"[[1, 0, -1], [0, 0, 0], [-1, 0, 0]]",,2.5,,1.0,10.75,0.25,,2.75,8.5
"[[1, 0, -1], [0, 0, 0], [0, -1, 0]]",,2.25,,6.0,8.5,3.0,12.25,,3.5
"[[1, 0, -1], [0, 0, 0], [0, 0, -1]]",,1.25,,6.5,1.75,5.25,19.5,3.75,
"[[0, 1, -1], [-1, 0, 0], [0, 0, 0]]",1.5,,,,4.25,2.0,3.5,6.5,1.25
"[[0, 1, -1], [0, -1, 0], [0, 0, 0]]",4.5,,,2.5,,2.25,10.75,1.0,3.5
"[[0, 1, -1], [0, 0, -1], [0, 0, 0]]",1.5,,,2.75,2.0,,1.25,0.0,6.0
"[[0, 1, -1], [0, 0, 0], [-1, 0, 0]]",0.0,,,2.0,10.75,2.0,,3.5,2.25
"[[0, 1, -1], [0, 0, 0], [0, -1, 0]]",1.75,,,2.25,7.0,2.5,3.0,,2.0
"[[0, 1, -1], [0, 0, 0], [0, 0, -1]]",1.25,,,1.0,8.5,1.5,2.5,5.0,
"[[0, 0, -1], [1, -1, 0], [0, 0, 0]]",15.0,1.0,,,,0.5,8.25,2.5,1.75
"[[0, 0, -1], [1, 0, -1], [0, 0, 0]]",6.0,1.0,,,1.25,,1.0,0.0,2.25
"[[0, 0, -1], [1, 0, 0], [-1, 0, 0]]",1.0,0.75,,,14.75,5.5,,1.0,1.25
"[[0, 0, -1], [1, 0, 0], [0, -1, 0]]",5.0,1.25,,,8.25,5.0,4.25,,3.0
"[[0, 0, -1], [1, 0, 0], [0, 0, -1]]",13.0,1.0,,,8.0,4.5,3.5,0.0,
"[[0, 0, -1], [-1, 1, 0], [0, 0, 0]]",11.5,32.25,,,,8.0,8.5,14.0,15.0
"[[0, 0, -1], [0, 1, -1], [0, 0, 0]]",5.5,9.25,,3.75,,,2.75,6.5,24.5
"[[0, 0, -1], [0, 1, 0], [-1, 0, 0]]",10.5,14.5,,18.75,,34.0,,14.0,11.75
"[[0, 0, -1], [0, 1, 0], [0, -1, 0]]",7.25,4.0,,21.5,,6.5,4.5,,11.5
"[[0, 0, -1], [0, 1, 0], [0, 0, -1]]",5.0,39.5,,11.5,,18.75,3.5,14.0,
"[[0, 0, -1], [-1, 0, 1], [0, 0, 0]]",7.5,3.0,,,3.75,,3.25,3.25,2.5
"[[0, 0, -1], [0, -1, 1], [0, 0, 0]]",2.5,2.75,,0.5,,,9.5,1.75,3.75
